date,open,high,low,close,volume
2008/12/30,11770,11800,11480,11665,83554
2008/12/31,11730,11865,11710,11795,43990
2009/1/5,11995,11995,11710,11740,49548
2009/1/6,11730,11865,11650,11710,50192
2009/1/7,11805,12020,11790,11850,98972
2009/1/8,11765,11885,11715,11875,32052
2009/1/9,11930,11980,11860,11910,28932
2009/1/12,11825,11920,11785,11790,22392
2009/1/13,11660,11745,11625,11715,25618
2009/1/14,11740,11770,11710,11745,12440
2009/1/15,11700,11770,11650,11725,20862
2009/1/16,11830,11845,11760,11765,12500
2009/1/19,11760,11785,11725,11755,8586
2009/1/20,11755,11760,11720,11730,5274
2009/1/21,11680,11730,11660,11705,6086
2009/1/22,11730,11730,11650,11660,7484
2009/1/23,11715,11735,11660,11735,6914
2009/2/2,11720,11880,11710,11825,11312
2009/2/3,11835,11915,11805,11905,15552
2009/2/4,11900,11990,11835,11855,23596
2009/2/5,11900,11900,11840,11860,11042
2009/2/6,11870,12035,11840,12010,32066
2009/2/9,12030,12230,12005,12165,56840
2009/2/10,12170,12185,12080,12135,18126
2009/2/11,12000,12085,11915,11975,27978
2009/2/12,11985,12020,11935,11955,10226
2009/2/13,11965,12010,11940,11990,12058
2009/2/16,12000,12115,11945,12030,27476
2009/2/17,12050,12120,12035,12105,12462
2009/2/18,12075,12075,11955,11965,27468
2009/2/19,12000,12045,11530,11635,72894
2009/2/20,11630,11860,11620,11855,47406
2009/2/23,11860,11950,11800,11930,22178
2009/2/24,11900,11910,11820,11840,13748
2009/2/25,11870,11900,11840,11890,9696
2009/2/26,11900,11925,11860,11870,8414
2009/2/27,11910,11915,11870,11895,6926
2009/3/2,11880,11880,11715,11750,18774
2009/3/3,11650,11770,11650,11765,11356
2009/3/4,11755,11795,11750,11780,6934
2009/3/5,11795,11855,11750,11775,7838
2009/3/6,11750,11785,11740,11770,4366
2009/3/9,11765,11865,11765,11830,13202
2009/3/10,11810,11865,11800,11860,5518
2009/3/11,11865,11920,11845,11905,7092
2009/3/12,11885,11915,11840,11885,2818
2009/3/13,11915,11940,11850,11900,6506
2009/3/16,11890,11930,11885,11920,5692
2009/3/17,11925,12015,11925,12005,10340
2009/3/18,12005,12020,11975,12005,4318
2009/3/19,11995,12040,11975,12040,5474
2009/3/20,12040,12135,12040,12105,10020
2009/3/23,12240,12465,12240,12405,17012
2009/3/24,12430,12445,12310,12330,8468
2009/3/25,12320,12330,12255,12265,5904
2009/3/26,12300,12360,12290,12345,6322
2009/3/27,12320,12340,12295,12330,4416
2009/3/30,12290,12535,12285,12390,16194
2009/3/31,12440,12465,12400,12425,8766
2009/4/1,12530,12530,12450,12475,9582
2009/4/2,12500,12555,12485,12550,6080
2009/4/3,12565,12590,12520,12580,8498
2009/4/7,12630,12845,12600,12815,17224
2009/4/8,12750,12920,12750,12825,21206
2009/4/9,12910,13050,12910,13040,22572
2009/4/10,13035,13040,12930,13020,17980
2009/4/13,13015,13255,13010,13235,26392
2009/4/14,13240,13280,13095,13195,15224
2009/4/15,13175,13175,13080,13135,10290
2009/4/16,13195,13245,13150,13170,13560
2009/4/17,13245,13245,13070,13155,15236
2009/4/20,13160,13210,13120,13160,11482
2009/4/21,13055,13140,12875,13105,42762
2009/4/22,13200,13225,13080,13110,18920
2009/4/23,13140,13140,13035,13085,9916
2009/4/24,13120,13155,13060,13070,12826
2009/4/27,13065,13105,12900,13025,16864
2009/4/28,12950,13040,12950,13020,6756
2009/4/29,13015,13025,12935,12970,8860
2009/4/30,13000,13030,12980,13000,6722
2009/5/1,13000,13030,12980,13000,6722
2009/5/4,13200,13205,13125,13140,19414
2009/5/5,13150,13150,13080,13120,5528
2009/5/6,13395,13580,13355,13540,11932
2009/5/7,13550,13600,13460,13560,9820
2009/5/8,13550,13710,13545,13655,16016
2009/5/11,13650,13660,13260,13440,16572
2009/5/12,13500,13560,13470,13540,7192
2009/5/13,13520,13540,13430,13495,9242
2009/5/14,13390,13480,13375,13440,8216
2009/5/15,13500,13520,13440,13490,8280
2009/5/18,13405,13510,13405,13490,7536
2009/5/19,13535,13535,13470,13475,5370
2009/5/20,13460,13460,13430,13435,6674
2009/5/21,13435,13435,13275,13305,14198
2009/5/22,13270,13320,13240,13300,7680
2009/5/25,13255,13295,13110,13145,17656
2009/5/26,13150,13160,13040,13050,16264
2009/5/27,13010,13080,13010,13060,10414
2009/6/1,13070,13085,12910,12970,18716
2009/6/2,12995,13215,12990,13145,34570
2009/6/3,13150,13180,13055,13115,15212
2009/6/4,13000,13060,12970,13025,12882
2009/6/5,13080,13085,12970,12980,13384
2009/6/8,12895,12955,12890,12905,11092
2009/6/9,12960,12990,12920,12975,10346
2009/6/10,12995,13095,12970,13080,15908
2009/6/11,13055,13200,13050,13190,13982
2009/6/12,13220,13380,13180,13335,24204
2009/6/15,13330,13400,13250,13395,27700
2009/6/16,13300,13520,13300,13475,41588
2009/6/17,13445,13495,13350,13360,26772
2009/6/18,13370,13390,13240,13255,29740
2009/6/19,13280,13330,13230,13250,14654
2009/6/22,13170,13220,13145,13180,6640
2009/6/23,13160,13340,13160,13240,19754
2009/6/24,13250,13265,13210,13235,5650
2009/6/25,13250,13270,13200,13205,6340
2009/6/26,13220,13265,13180,13220,9200
2009/6/29,13220,13385,13200,13285,19268
2009/6/30,13310,13315,13240,13290,5190
2009/7/1,13285,13360,13285,13340,6008
2009/7/2,13405,13420,13315,13355,8886
2009/7/3,13350,13375,13300,13340,4138
2009/7/6,13335,13500,13310,13400,13516
2009/7/7,13415,13465,13410,13450,7632
2009/7/8,13400,13515,13400,13465,7226
2009/7/9,13470,13550,13410,13535,7398
2009/7/10,13570,13665,13560,13575,9588
2009/7/13,13610,13650,13550,13620,6458
2009/7/14,13420,13650,13380,13630,27890
2009/7/15,13660,13775,13595,13620,30518
2009/7/16,13615,13630,13505,13560,15952
2009/7/17,13570,13615,13490,13535,12278
2009/7/20,13560,13605,13520,13535,10432
2009/7/21,13560,13635,13525,13525,14826
2009/7/22,13465,13500,13420,13455,10084
2009/7/23,13455,13505,13440,13455,9688
2009/7/24,13470,13520,13445,13475,7964
